layer,t=0,t=1,t=2,t=3,mean
block[0].attn.q_lif,15.3183,19.1867,17.2660,17.6545,17.3564
block[0].attn.k_lif,4.8481,10.3529,9.2578,9.8940,8.5882
block[0].attn.v_lif,3.8507,10.1475,9.1162,9.5158,8.1575
block[1].attn.q_lif,11.3239,13.2413,11.7921,11.8420,12.0498
block[1].attn.k_lif,6.1283,8.8958,9.0189,9.2870,8.3325
block[1].attn.v_lif,5.0653,8.5390,8.5102,8.8154,7.7325
block[2].attn.q_lif,8.6499,10.2770,9.0574,8.6161,9.1501
block[2].attn.k_lif,7.1041,7.4230,7.5039,7.5551,7.3965
block[2].attn.v_lif,4.4350,6.0588,6.3404,6.6568,5.8728
block[3].attn.q_lif,7.2914,8.2241,8.5168,8.3752,8.1019
block[3].attn.k_lif,8.2234,5.3972,6.2489,6.5957,6.6163
block[3].attn.v_lif,6.3505,5.7382,6.2385,6.3882,6.1788
