layer,t=0,t=1,t=2,t=3,mean
block[0].attn.q_lif,12.1672,13.2299,13.5135,14.7206,13.4078
block[0].attn.k_lif,2.9941,3.0450,2.9635,3.1419,3.0361
block[0].attn.v_lif,6.1051,6.5383,5.5594,5.6328,5.9589
block[1].attn.q_lif,10.4437,10.9785,11.2394,9.5827,10.5611
block[1].attn.k_lif,3.9563,3.8719,3.7741,3.5126,3.7788
block[1].attn.v_lif,5.8053,6.2671,6.2859,5.9628,6.0803
block[2].attn.q_lif,8.3128,8.8564,8.7886,7.2943,8.3131
block[2].attn.k_lif,4.0157,3.8942,3.7866,3.3539,3.7626
block[2].attn.v_lif,6.2261,6.8661,7.3140,6.8539,6.8150
block[3].attn.q_lif,5.7866,6.0982,5.8172,4.8340,5.6340
block[3].attn.k_lif,3.5273,3.6758,3.6445,3.3051,3.5382
block[3].attn.v_lif,5.9630,6.7567,7.7296,6.7911,6.8101
block[4].attn.q_lif,6.7174,7.0327,6.8329,6.4819,6.7662
block[4].attn.k_lif,2.9631,3.2282,3.2462,3.2846,3.1805
block[4].attn.v_lif,5.5889,5.9828,6.4205,5.6450,5.9093
block[5].attn.q_lif,5.4014,5.1517,4.8178,4.7418,5.0282
block[5].attn.k_lif,2.2281,2.2976,2.2684,2.2636,2.2644
block[5].attn.v_lif,3.7728,4.2197,4.5599,4.2309,4.1958
block[6].attn.q_lif,6.7852,7.7154,7.7427,7.7837,7.5068
block[6].attn.k_lif,2.8865,2.8844,3.0874,3.3699,3.0570
block[6].attn.v_lif,4.0371,4.3942,4.2038,3.5393,4.0436
block[7].attn.q_lif,5.1294,8.5475,9.5619,9.8339,8.2682
block[7].attn.k_lif,3.2609,2.8527,2.7481,2.8051,2.9167
block[7].attn.v_lif,5.8652,7.1247,7.1750,7.9815,7.0366
